UpdateDegree,DegreeType
 *AAS MARKETING & MGT,Associate's
 AA  ACCOUNTING,Associate's
 ASSOC APPLIED SC - FOR TECH,Associate's
 ASSOC OF AGRI BUS,Associate's
 ASSOC OF DATA PROC,Associate's
 ASSOCIATE DEGREE,Associate's
 ASSOCIATE DEGREE IN BUSINESS,Associate's
 ASSOCIATE DEGREE IN HEALTH SCIENCES,Associate's
 ASSOCIATE IN APPLIED SCIENCE,Associate's
 ASSOCIATE IN ARTS,Associate's
 ASSOCIATE OF APPLIED SCIENCE,Associate's
 ASSOCIATE OF APPLIED SCIENCE DEGREES,Associate's
 ASSOCIATE OF ARTS,Associate's
 ASSOCIATE OF ARTS AND SCIENCE,Associate's
 ASSOCIATE OF SCIENCE,Associate's
 ASSOCIATE'S OF SCIENCE,Associate's
 ASSOICATE IN APPLIED SCIENCE PHYSICAL THERAPIST ASSISTANT,Associate's
 Associate of Arts Nursing,Associate's
 SSOCIATE OF ARTS,Associate's
"AAS - BUSINESS, GENERAL",Associate's
"AAS NURSING, AD",Associate's
"AAS, OPT A, GENERAL TRANSFER",Associate's
"AAS, OPTIN A, GENERAL TRANSFER",Associate's
"AAS-BUSINESS MGMT, MRKT SPEC",Associate's
"AAS-BUSINESS, GENERAL",Associate's
"AAS-MUSIC, COMMERCIAL EMPHASIS",Associate's
"AAS-MUSIC, JAZZ EMPHASIS",Associate's
"AAS-T COMM, BUSINESS & MEDIA",Associate's
"ASSOC IN APPLIED ARTS/SCIENCES AUDIO, DIGITAL AUDIO,MIDI ENGR",Associate's
"ASSOCIATE OF APPLIED SCIENCE HEATING, VENTILATION, AND AIR CONDITIONING",Associate's
# ASSOC ARTS & SCIENCE W/HONOR,Associate's
# ASSOCIATE ARTS & SCIENCE,Associate's
# ASSOCIATE OF ARTS #,Associate's
# ASSOCIATE OF ARTS #(BUS ADM),Associate's
#ASSOCIATE IN ARTS,Associate's
#ASSOCIATE IN ARTS DTA,Associate's
#ASSOCIATE IN ARTS W/HNRS  DTA,Associate's
#ASSOCIATE IN ARTS#,Associate's
#ASSOCIATE OF ARTS,Associate's
#ASSOCIATE OF ARTS  -APS PRE-ENGINEERING,Associate's
#ASSOCIATE OF ARTS -  APS-EARLY CHILDHOOD EDUC,Associate's
#ASSOCIATE OF ARTS - APS - BUSINESS ADMIN,Associate's
#ASSOCIATE OF ARTS - APS - CRIMINAL JUSTICE,Associate's
#ASSOCIATE OF ARTS - APS - CRMINIAL JUSTICE,Associate's
#ASSOCIATE OF ARTS - APS - EARLY CHILDHOOD EDUC,Associate's
#ASSOCIATE OF ARTS - APS - EARLY CHILDHOOT EDUC,Associate's
#ASSOCIATE OF ARTS - APS - OFFICE ADMINISTRATION,Associate's
#ASSOCIATE OF ARTS - APS BUSINESS ADMIN,Associate's
